Brand,Industry,Region,Website,Parent Company,Twitter,Facebook,Instagram,Major Campaigns (Past 5 Years),Celebrity Endorsements
Amul,FMCG (Dairy),India,https://www.amul.com,GCMMF,,,"‘Amul Topical Ads’ ongoing witty campaigns","No fixed celebrity, topical ads use illustrations"
Mother Dairy,FMCG (Dairy),India,https://www.motherdairy.com,NDDB,,,"‘Sweeter Every Day’","No major celebrity endorsements"
Patanjali,FMCG (Ayurveda),India,https://www.patanjaliayurved.org,Patanjali Ayurved Ltd.,,,“‘Prakriti ka Ashirwad’”,Baba Ramdev (brand face)
Haldiram’s,FMCG (Snacks),India,https://www.haldirams.com,Haldiram Group,,,"Digital ads on Indian festivals","No major celebrity endorsements"
Britannia,FMCG (Bakery),India,https://www.britannia.co.in,Britannia Industries,,,"‘Har Ghar Britannia’","Deepika Padukone; Ranveer Singh"
Parle,FMCG (Snacks & Biscuits),India,https://www.parleproducts.com,Parle Products,,,"‘Naam Toh Suna Hi Hoga’","No major celebrity endorsements"
MDH Spices,FMCG (Spices),India,https://www.mdhltd.com,Mahashian Di Hatti,,,"Legacy ads featuring ‘MDH Uncle’","Mahashay Dharampal Gulati (brand face)"
Catch,FMCG (Spices & Beverages),India,https://www.catchbeverages.com,DS Group,,,"‘#Kyunki Khana Sirf Khana Nahi’","No major celebrity endorsements"
Dabur,FMCG (Ayurveda),India,https://www.dabur.com,Dabur India Ltd.,,,"‘Science of Ayurveda, Power of Nature’","Amitabh Bachchan; Virat Kohli"
Himalaya,FMCG (Wellness),India,https://himalayawellness.com,Himalaya Drug Company,,,"‘Wellness in Every Home’","Kriti Sanon; Rashmika Mandanna"
Vicco,FMCG (Personal Care),India,https://www.vicco.co.in,Vicco Laboratories,,,"Herbal toothpaste digital relaunch","Alia Bhatt"
Nirma,FMCG (Detergent),India,https://www.nirma.co.in,Nirma Ltd.,,,"Revamped classic jingle campaigns","Deepika Padukone (early campaigns)"
Tata Motors,Automobile,India,https://www.tatamotors.com,Tata Group,https://twitter.com/TataMotors,https://www.facebook.com/tatamotors,https://www.instagram.com/tatamotors/,"‘Connecting Aspirations’","Lionel Messi; Akshay Kumar"
Mahindra & Mahindra,Automobile,India,https://www.mahindra.com,Mahindra Group,https://twitter.com/MahindraRise,https://www.facebook.com/mahindra,https://www.instagram.com/mahindrarise/,"‘Rise’ campaigns","Varun Dhawan"
Hero MotoCorp,Automobile (2-wheeler),India,https://www.heromotocorp.com,Hero MotoCorp Ltd.,https://twitter.com/heromotocorp,https://www.facebook.com/heromotocorp,https://www.instagram.com/heromotocorp/,"‘Hum Mein Hai Hero’","Ranbir Kapoor; Priyanka Chopra"
Bajaj Auto,Automobile (2-wheeler),India,https://www.bajajauto.com,Bajaj Auto Ltd.,https://twitter.com/BajajAutoLtd,https://www.facebook.com/BajajAutoLtd,https://www.instagram.com/bajajauto/,"‘Bajaj Pulsar – The Fastest Indian’","No fixed celebrity"
TVS Motor,Automobile (2-wheeler),India,https://www.tvsmotor.com,TVS Group,https://twitter.com/TVSMotor,https://www.facebook.com/tvsmotorindia,,"‘TVS Apache – Race DNA’","MS Dhoni"
Royal Enfield,Automobile (Motorcycles),India,https://www.royalenfield.com,Eicher Motors,https://twitter.com/royalenfield,https://www.facebook.com/royalenfield,,"‘Made Like a Gun’ heritage ads","No major celebrity"
Ashok Leyland,Automobile (Commercial Vehicles),India,https://www.ashokleyland.com,Hinduja Group,,,"‘Aapki Jeet, Hamari Jeet’","No major celebrity endorsements"
Micromax,Consumer Electronics,India,https://www.micromaxinfo.com,Micromax Informatics,https://twitter.com/Micromax,,"","‘Nothing Like Anything’ relaunch","Hugh Jackman"
Lava,Consumer Electronics,India,https://www.lavamobiles.com,Lava International,,,"‘Design in India’","MS Dhoni"
Boat,Consumer Electronics,India,https://www.boat-lifestyle.com,Imagine Marketing Ltd.,,,,"‘Do What Floats Your boAt’","Kiara Advani; Kartik Aaryan; Shikhar Dhawan"
Noise,Wearables,India,https://www.thenoiseapp.com,Noise,,,"‘Upgrade Everyday’","Taapsee Pannu; Virat Kohli"
Zebronics,Consumer Electronics,India,https://www.zebronics.com,Zebronics India,,,"‘Always Ahead’","Hrithik Roshan"
... (and so on for all brands)
